"State","Tickets","Fines","Vehicles"
"AK",364,16461.6666666667,800433
"AL",2524.33333333333,118931.666666667,5366844
"AR",703.666666666667,33443.3333333333,2778660
"AZ",2192.33333333333,109371.666666667,5588014
"CA",6355,309301.666666667,28686646
"CO",1520.66666666667,71411.6666666667,4820622
"CT",4876.33333333333,226343.333333333,2866460
"DC",451986.666666667,22795580,334331
"DE",4082,191883.333333333,957669
"FL",17250.6666666667,839095,15504814
"GA",8009.33333333333,379736.666666667,8155107
"HI",153.333333333333,7833.33333333333,1393259
"IA",651.333333333333,31733.3333333333,3596530
"ID",199.333333333333,9116.66666666667,1762687
"IL",7015,360591.666666667,10393503
"IN",4528.33333333333,252840,6012595
"KS",587,27810,2542678
"KY",1612.66666666667,80713.3333333333,4148721
"LA",1774,85243.3333333333,3886934
"MA",7684,371536.666666667,4994439
"MD",572477.666666667,25537478.3333333,4052090
"ME",990.666666666667,50631.6666666667,1194661
"MI",5177.66666666667,250801.666666667,8126337
"MN",1515.33333333333,75441.6666666667,5223189
"MO",1749.66666666667,84570,5332901
"MS",986.666666666667,48910,2067806
"MT",251.333333333333,11306.6666666667,1585830
"NC",16263.6666666667,798371.666666667,7876030
"ND",227,10711.6666666667,870731
"NE",587.666666666667,36586.6666666667,1947627
"NH",1027.66666666667,50196.6666666667,1310191
"NJ",18470.6666666667,898210,6874100
"NM",498,22623.3333333333,1930706
"NV",430,19566.6666666667,2240498
"NY",18177.3333333333,859280,10903620
"OH",7041.66666666667,335710,10453358
"OK",1263,67301.6666666667,3517806
"OR",828.333333333333,39741.6666666667,3417959
"PA",24123.3333333333,1161801.66666667,10504757
"RI",1143.33333333333,54746.6666666667,864762
"SC",4862,234643.333333333,4017611
"SD",195,8836.66666666667,1032705
"TN",4464.66666666667,221928.333333333,5495647
"TX",9392.66666666667,473488.333333333,20877026
"UT",412,20156.6666666667,2150573
"VA",358609.666666667,16052340,7160097
"VT",722,33030,612437
"WA",1346.33333333333,62521.6666666667,6405483
"WI",1241.33333333333,60051.6666666667,5340155
"WV",3463.33333333333,157110,1553192
"WY",151.666666666667,7146.66666666667,820107
